[Gene ID]	[source_id]	[Product Description]	[Input ID]	[# TM Domains]	[SignalP Scores]	
Tb927.1.190	Tb927.1.190:pseudogenic_transcript	retrotransposon hot spot protein (RHS, pseudogene), putative	Tb927.1.190	0	N/A	
Tb927.1.1930	Tb927.1.1930:mRNA	phosphatidylinositol 3-kinase, putative	Tb927.1.1930	0	N/A	
Tb927.1.2120	Tb927.1.2120:mRNA	Calpain-like protein CALP1.3	Tb927.1.2120	0	N/A	
Tb927.1.2210	Tb927.1.2210:mRNA	nucleosome assembly protein (NAP), putative	Tb927.1.2210	0	N/A	
Tb927.1.2230	Tb927.1.2230:mRNA	small myristoylated protein 1-1	Tb927.1.2230	0	N/A	
Tb927.1.2260	Tb927.1.2260:mRNA	small myristoylated protein 1-2	Tb927.1.2260	0	N/A	
Tb927.1.2390	Tb927.1.2390:mRNA	beta tubulin	Tb927.1.2390	0	N/A	
Tb927.1.2400	Tb927.1.2400:mRNA	alpha tubulin	Tb927.1.2400	0	N/A	
Tb927.1.2550	Tb927.1.2550:mRNA	histone H3, putative	Tb927.1.2550	0	N/A	
Tb927.1.2570	Tb927.1.2570:mRNA	coatomer beta subunit	Tb927.1.2570	0	NN Sum: 0, NN D: .17, HMM Prob: .76	
Tb927.1.2580	Tb927.1.2580:mRNA	exosome-associated protein 1	Tb927.1.2580	0	N/A	
Tb927.1.2670	Tb927.1.2670:mRNA	paralyzed flagella 16	Tb927.1.2670	0	N/A	
Tb927.1.2750	Tb927.1.2750:mRNA	hypothetical protein, conserved	Tb927.1.2750	0	N/A	
Tb927.1.3000	Tb927.1.3000:mRNA	amidohydrolase, putative	Tb927.1.3000	0	N/A	
Tb927.1.3030	Tb927.1.3030:mRNA	KREL2	Tb927.1.3030	0	N/A	
Tb927.1.3070	Tb927.1.3070:mRNA	hypothetical protein, conserved	Tb927.1.3070	0	N/A	
Tb927.1.3110	Tb927.1.3110:mRNA	soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative	Tb927.1.3110	0	N/A	
Tb927.1.3170	Tb927.1.3170:mRNA	CHORD, putative	Tb927.1.3170	0	N/A	
Tb927.1.3180	Tb927.1.3180:mRNA	40S ribosomal protein S11, putative	Tb927.1.3180	0	N/A	
Tb927.1.3260	Tb927.1.3260:mRNA	hypothetical protein, conserved	Tb927.1.3260	0	N/A	
Tb927.1.3300	Tb927.1.3300:mRNA	Myotubularin-related protein, putative	Tb927.1.3300	0	N/A	
Tb927.1.3310	Tb927.1.3310:mRNA	hypothetical protein, conserved	Tb927.1.3310	0	N/A	
Tb927.1.3830	Tb927.1.3830:mRNA	glucose-6-phosphate isomerase, glycosomal	Tb927.1.3830	0	N/A	
Tb927.1.3950	Tb927.1.3950:mRNA	alanine aminotransferase	Tb927.1.3950	0	N/A	
Tb927.1.4050	Tb927.1.4050:mRNA	ser/thr protein phosphatase, putative	Tb927.1.4050	0	N/A	
Tb927.1.4180	Tb927.1.4180:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.1.4180	0	N/A	
Tb927.1.4310	Tb927.1.4310:mRNA	Flagellum attachment zone protein 2	Tb927.1.4310	0	N/A	
Tb927.1.4420	Tb927.1.4420:mRNA	ABC transporter, putative	Tb927.1.4420	0	N/A	
Tb927.1.4490	Tb927.1.4490:mRNA	acetyltransferase, putative	Tb927.1.4490	0	N/A	
Tb927.1.450	Tb927.1.450:pseudogenic_transcript	retrotransposon hot spot protein (RHS, pseudogene), putative	Tb927.1.450	0	N/A	
Tb927.1.4690	Tb927.1.4690:mRNA	Protein arginine N-methyltransferase 1 catalytic subunit	Tb927.1.4690	0	N/A	
Tb927.1.5000	Tb927.1.5000:mRNA	hypothetical protein, conserved	Tb927.1.5000	0	N/A	
Tb927.1.540	Tb927.1.540:mRNA	DNA-directed RNA polymerase III, putative	Tb927.1.540	0	N/A	
Tb927.1.670	Tb927.1.670:mRNA	conserved protein, unknown function	Tb927.1.670	0	N/A	
Tb927.1.720	Tb927.1.720:mRNA	phosphoglycerate kinase	Tb927.1.720	0	N/A	
Tb927.1.740	Tb927.1.740:mRNA	phosphatidylinositol-4-phosphate 5-kinase related	Tb927.1.740	0	N/A	
Tb927.1.750	Tb927.1.750:mRNA	Metal-binding domain-containing protein	Tb927.1.750	0	N/A	
Tb927.1.860	Tb927.1.860:mRNA	transmembrane protein, putative	Tb927.1.860	1	NN Sum: 4, NN D: .91, HMM Prob: 1	
Tb927.1.880	Tb927.1.880:mRNA	Midasin, putative	Tb927.1.880	0	N/A	
Tb927.1.90	Tb927.1.90:pseudogenic_transcript	retrotransposon hot spot protein (RHS, pseudogene), putative	Tb927.1.90	0	N/A	
Tb927.1.990	Tb927.1.990:mRNA	Enkuring domain-containig protein	Tb927.1.990	0	N/A	
Tb927.10.10010	Tb927.10.10010:mRNA	mRNA turnover protein 4 homolog, putative	Tb927.10.10010	0	N/A	
Tb927.10.10030	Tb927.10.10030:mRNA	hypothetical protein, conserved	Tb927.10.10030	0	N/A	
Tb927.10.10280	Tb927.10.10280:mRNA	microtubule-associated protein, putative	Tb927.10.10280	0	N/A	
Tb927.10.10340	Tb927.10.10340:mRNA	structural maintenance of chromosome 2, putative	Tb927.10.10340	0	N/A	
Tb927.10.10350	Tb927.10.10350:mRNA	STE/STE11 serine/threonine-protein kinase, putative	Tb927.10.10350	0	N/A	
Tb927.10.10390	Tb927.10.10390:mRNA	trypanothione reductase	Tb927.10.10390	0	N/A	
Tb927.10.10420	Tb927.10.10420:mRNA	monothiol glutaredoxin, putative	Tb927.10.10420	0	N/A	
Tb927.10.10590	Tb927.10.10590:mRNA	histone H2B, putative	Tb927.10.10590	0	N/A	
Tb927.10.1060	Tb927.10.1060:mRNA	T-complex protein 1, delta subunit, putative	Tb927.10.1060	0	N/A	
Tb927.10.10620	Tb927.10.10620:mRNA	hypothetical protein, conserved	Tb927.10.10620	0	N/A	
Tb927.10.1070	Tb927.10.1070:mRNA	cdc2-related kinase 1	Tb927.10.1070	0	N/A	
Tb927.10.10730	Tb927.10.10730:mRNA	RNA Interference Factor 5	Tb927.10.10730	0	N/A	
Tb927.10.10800	Tb927.10.10800:mRNA	palmitoyl acyltransferase 2, putative	Tb927.10.10800	4	N/A	
Tb927.10.10850	Tb927.10.10850:mRNA	Protein argonaute-1	Tb927.10.10850	0	N/A	
Tb927.10.10880	Tb927.10.10880:mRNA	ATP-binding cassette sub-family F member 1, putative	Tb927.10.10880	0	N/A	
Tb927.10.1090	Tb927.10.1090:mRNA	40S ribosomal protein S23, putative	Tb927.10.1090	0	N/A	
Tb927.10.1100	Tb927.10.1100:mRNA	60S ribosomal protein L9, putative	Tb927.10.1100	0	N/A	
Tb927.10.11020	Tb927.10.11020:mRNA	DNA mismatch repair protein MSH2, putative	Tb927.10.11020	0	N/A	
Tb927.10.11030	Tb927.10.11030:mRNA	Archaic translocase of outer membrane 11 kDa subunit	Tb927.10.11030	0	N/A	
Tb927.10.11080	Tb927.10.11080:mRNA	paraflagellar rod protein	Tb927.10.11080	0	N/A	
Tb927.10.11150	Tb927.10.11150:mRNA	hypothetical protein, conserved	Tb927.10.11150	0	N/A	
Tb927.10.11180	Tb927.10.11180:mRNA	Ubiquitin-like modifier-activating enzyme ATG7, putative	Tb927.10.11180	0	N/A	
Tb927.10.11210	Tb927.10.11210:mRNA	hypothetical protein, conserved	Tb927.10.11210	0	NN Sum: 2, NN D: .37, HMM Prob: .91	
Tb927.10.11220	Tb927.10.11220:mRNA	procyclic form surface phosphoprotein	Tb927.10.11220	2	N/A	
Tb927.10.11250	Tb927.10.11250:mRNA	Coiled-coil domain-containing protein 40 homolog	Tb927.10.11250	0	N/A	
Tb927.10.11270	Tb927.10.11270:mRNA	RNA-binding protein, putative	Tb927.10.11270	0	N/A	
Tb927.10.11300	Tb927.10.11300:mRNA	paraflagellar rod component, putative	Tb927.10.11300	0	N/A	
Tb927.10.11310	Tb927.10.11310:mRNA	intraflagellar transport protein 57/55	Tb927.10.11310	0	N/A	
Tb927.10.11380	Tb927.10.11380:mRNA	hypothetical protein, conserved	Tb927.10.11380	0	N/A	
Tb927.10.11390	Tb927.10.11390:mRNA	60S ribosomal protein L6, putative	Tb927.10.11390	0	N/A	
Tb927.10.11510	Tb927.10.11510:mRNA	hypothetical protein, conserved	Tb927.10.11510	0	N/A	
Tb927.10.11590	Tb927.10.11590:mRNA	nicotinate phosphoribosyltransferase, putative	Tb927.10.11590	0	N/A	
Tb927.10.11600	Tb927.10.11600:mRNA	hypothetical protein, conserved	Tb927.10.11600	0	N/A	
Tb927.10.11660	Tb927.10.11660:mRNA	hypothetical protein, conserved	Tb927.10.11660	0	N/A	
Tb927.10.1170	Tb927.10.1170:mRNA	intraflagellar transport protein 172	Tb927.10.1170	0	N/A	
Tb927.10.11700	Tb927.10.11700:mRNA	guanylate kinase, putative	Tb927.10.11700	0	N/A	
Tb927.10.11720	Tb927.10.11720:mRNA	CW-type Zinc Finger, putative	Tb927.10.11720	0	N/A	
Tb927.10.11760	Tb927.10.11760:mRNA	pumilio/PUF RNA binding protein 6	Tb927.10.11760	0	N/A	
Tb927.10.11800	Tb927.10.11800:mRNA	Axonemal inner arm dynein light chain, putative	Tb927.10.11800	0	N/A	
Tb927.10.11900	Tb927.10.11900:mRNA	thioredoxin, putative	Tb927.10.11900	0	N/A	
Tb927.10.11930	Tb927.10.11930:mRNA	beta-D-hydroxybutyrate dehydrogenase	Tb927.10.11930	0	NN Sum: 0, NN D: .19, HMM Prob: .55	
Tb927.10.12050	Tb927.10.12050:mRNA	LSU ribosomal protein, mitochondrial, putative	Tb927.10.12050	0	NN Sum: 0, NN D: .31, HMM Prob: .57	
Tb927.10.12090	Tb927.10.12090:mRNA	RNA-binding protein, putative	Tb927.10.12090	0	N/A	
Tb927.10.1210	Tb927.10.1210:mRNA	katanin, putative	Tb927.10.1210	0	N/A	
Tb927.10.12130	Tb927.10.12130:mRNA	Ubiquitin family, putative	Tb927.10.12130	0	N/A	
Tb927.10.12180	Tb927.10.12180:mRNA	hypothetical protein, conserved	Tb927.10.12180	0	N/A	
Tb927.10.12240	Tb927.10.12240:mRNA	3-ketoacyl-CoA reductase, putative	Tb927.10.12240	1	N/A	
Tb927.10.12260	Tb927.10.12260:mRNA	cytosolic nonspecific dipeptidase, putative	Tb927.10.12260	0	N/A	
Tb927.10.12360	Tb927.10.12360:mRNA	hypothetical protein, conserved	Tb927.10.12360	0	N/A	
Tb927.10.12390	Tb927.10.12390:mRNA	hypothetical protein, conserved	Tb927.10.12390	0	N/A	
Tb927.10.1250	Tb927.10.1250:mRNA	Aminoacyl-tRNA editing domain containing protein, putative	Tb927.10.1250	0	N/A	
Tb927.10.12500	Tb927.10.12500:mRNA	P-type H+-ATPase, putative	Tb927.10.12500	7	N/A	
Tb927.10.12540	Tb927.10.12540:mRNA	NADH-ubiquinone oxidoreductase complex I subunit, putative	Tb927.10.12540	0	NN Sum: 1, NN D: .35, HMM Prob: .89	
Tb927.10.12590	Tb927.10.12590:mRNA	hypothetical protein, conserved	Tb927.10.12590	0	N/A	
Tb927.10.12630	Tb927.10.12630:mRNA	hypothetical protein, conserved	Tb927.10.12630	0	N/A	
Tb927.10.12660	Tb927.10.12660:mRNA	pumilio/PUF RNA binding protein 2	Tb927.10.12660	0	N/A	
Tb927.10.12700	Tb927.10.12700:mRNA	pyruvate dehydrogenase E1 alpha subunit, putative	Tb927.10.12700	0	N/A	
Tb927.10.12720	Tb927.10.12720:mRNA	hypothetical protein, conserved	Tb927.10.12720	0	N/A	
Tb927.10.12810	Tb927.10.12810:mRNA	cholinephosphate cytidylyltransferase A, putative	Tb927.10.12810	4	N/A	
Tb927.10.12850	Tb927.10.12850:mRNA	ttaggg binding factor	Tb927.10.12850	0	N/A	
Tb927.10.12890	Tb927.10.12890:mRNA	bifunctional aminoacyl-tRNA synthetase, putative	Tb927.10.12890	0	N/A	
Tb927.10.12960	Tb927.10.12960:mRNA	Ras-related protein Rab5A	Tb927.10.12960	0	N/A	
Tb927.10.12990	Tb927.10.12990:mRNA	predicted ankyrin repeat family protein	Tb927.10.12990	0	N/A	
Tb927.10.13010	Tb927.10.13010:mRNA	cAMP-dependent protein kinase catalytic subunit 3	Tb927.10.13010	0	N/A	
Tb927.10.13020	Tb927.10.13020:mRNA	Vacuolar protein sorting-associated protein 16 homolog, putative	Tb927.10.13020	0	N/A	
Tb927.10.1310	Tb927.10.1310:mRNA	Domain of unknown function (DUF4042), putative	Tb927.10.1310	0	N/A	
Tb927.10.13180	Tb927.10.13180:mRNA	Nrap protein, putative	Tb927.10.13180	0	N/A	
Tb927.10.1320	Tb927.10.1320:mRNA	hypothetical protein, conserved	Tb927.10.1320	0	N/A	
Tb927.10.13250	Tb927.10.13250:mRNA	hypothetical protein, conserved	Tb927.10.13250	0	N/A	
Tb927.10.13270	Tb927.10.13270:mRNA	Periodic tryptophan protein 2 homolog, putative	Tb927.10.13270	0	N/A	
Tb927.10.13280	Tb927.10.13280:mRNA	hypothetical protein, conserved	Tb927.10.13280	0	N/A	
Tb927.10.13320	Tb927.10.13320:mRNA	DNA-directed RNA polymerase II/III subunit, putative	Tb927.10.13320	0	N/A	
Tb927.10.13360	Tb927.10.13360:mRNA	Elongation factor Tu, mitochondrial	Tb927.10.13360	0	N/A	
Tb927.10.13430	Tb927.10.13430:mRNA	citrate synthase, putative	Tb927.10.13430	0	NN Sum: 0, NN D: .22, HMM Prob: .65	
Tb927.10.13510	Tb927.10.13510:mRNA	zinc metallopeptidase, putative	Tb927.10.13510	1	N/A	
Tb927.10.13517	Tb927.10.13517:mRNA	40S ribosomal protein S27-like, putative	Tb927.10.13517	0	N/A	
Tb927.10.13540	Tb927.10.13540:mRNA	RNA-binding protein, putative	Tb927.10.13540	0	N/A	
Tb927.10.13630	Tb927.10.13630:mRNA	glucosidase, putative	Tb927.10.13630	0	NN Sum: 4, NN D: .9, HMM Prob: 1	
Tb927.10.13660	Tb927.10.13660:mRNA	Domain of unknown function DUF21, putative	Tb927.10.13660	5	NN Sum: 4, NN D: .7, HMM Prob: .97	
Tb927.10.13670	Tb927.10.13670:mRNA	serine/threonine protein phosphatase 5	Tb927.10.13670	0	N/A	
Tb927.10.13710	Tb927.10.13710:mRNA	Activator of Hsp90 ATPase, N-terminal/Activator of Hsp90 ATPase homolog 1-like protein, putative	Tb927.10.13710	0	N/A	
Tb927.10.13720	Tb927.10.13720:mRNA	RNA-binding protein 29, putative	Tb927.10.13720	0	N/A	
Tb927.10.13770	Tb927.10.13770:mRNA	hypothetical protein, conserved	Tb927.10.13770	0	NN Sum: 1, NN D: .42, HMM Prob: .91	
Tb927.10.13780	Tb927.10.13780:mRNA	glycogen synthase kinase 3	Tb927.10.13780	0	N/A	
Tb927.10.13790	Tb927.10.13790:mRNA	hypothetical protein, conserved	Tb927.10.13790	0	N/A	
Tb927.10.13800	Tb927.10.13800:mRNA	hypothetical protein, conserved	Tb927.10.13800	0	N/A	
Tb927.10.13830	Tb927.10.13830:mRNA	chaperone protein DnaJ, putative	Tb927.10.13830	1	NN Sum: 1, NN D: .35, HMM Prob: .58	
Tb927.10.13850	Tb927.10.13850:mRNA	ATP12 chaperone protein, putative	Tb927.10.13850	0	NN Sum: 2, NN D: .32, HMM Prob: .93	
Tb927.10.13860	Tb927.10.13860:mRNA	GPI-anchor transamidase subunit 8 (GPI8)	Tb927.10.13860	0	NN Sum: 4, NN D: .86, HMM Prob: 1	
Tb927.10.1390	Tb927.10.1390:mRNA	Hypoxanthine-guanine-xanthine phosphoribosyltransferase	Tb927.10.1390	0	N/A	
Tb927.10.13920	Tb927.10.13920:mRNA	hypothetical protein, conserved	Tb927.10.13920	0	N/A	
Tb927.10.13960	Tb927.10.13960:mRNA	paralyzed flagella protein 20	Tb927.10.13960	0	N/A	
Tb927.10.13970	Tb927.10.13970:mRNA	uracil-DNA glycosylase, putative	Tb927.10.13970	0	N/A	
Tb927.10.14010	Tb927.10.14010:mRNA	tubulin cofactor C domain-containing protein RP2	Tb927.10.14010	0	N/A	
Tb927.10.14040	Tb927.10.14040:mRNA	vacuolar ATP synthase subunit c, putative	Tb927.10.14040	0	NN Sum: 3, NN D: .55, HMM Prob: .99	
Tb927.10.14090	Tb927.10.14090:mRNA	transporter, putative	Tb927.10.14090	10	N/A	
Tb927.10.14110	Tb927.10.14110:mRNA	13 kDa deflagellation-inducible protein, putative	Tb927.10.14110	0	N/A	
Tb927.10.14140	Tb927.10.14140:mRNA	pyruvate kinase 1	Tb927.10.14140	0	N/A	
Tb927.10.14150	Tb927.10.14150:mRNA	nuclear segregation protein, putative	Tb927.10.14150	0	N/A	
Tb927.10.14180	Tb927.10.14180:mRNA	protein transport protein SEC13	Tb927.10.14180	0	N/A	
Tb927.10.14190	Tb927.10.14190:mRNA	hypothetical protein, conserved	Tb927.10.14190	0	N/A	
Tb927.10.1420	Tb927.10.1420:mRNA	metallo-peptidase, Clan MG, Family M24	Tb927.10.1420	0	N/A	
Tb927.10.14240	Tb927.10.14240:mRNA	N-myristoyltransferase	Tb927.10.14240	0	N/A	
Tb927.10.1430	Tb927.10.1430:mRNA	hypothetical protein, conserved	Tb927.10.1430	0	N/A	
Tb927.10.14320	Tb927.10.14320:mRNA	Flagellum attachment zone protein 9	Tb927.10.14320	0	NN Sum: 0, NN D: .34, HMM Prob: .9	
Tb927.10.14330	Tb927.10.14330:mRNA	Utp14 protein, putative	Tb927.10.14330	0	N/A	
Tb927.10.14340	Tb927.10.14340:mRNA	hypothetical protein, conserved	Tb927.10.14340	0	N/A	
Tb927.10.14390	Tb927.10.14390:mRNA	Histone chaperone Rttp106-like, putative	Tb927.10.14390	0	NN Sum: 0, NN D: .22, HMM Prob: .78	
Tb927.10.14470	Tb927.10.14470:mRNA	intraflagellar transport protein 140	Tb927.10.14470	0	N/A	
Tb927.10.14490	Tb927.10.14490:mRNA	hypothetical protein, conserved	Tb927.10.14490	0	N/A	
Tb927.10.1450	Tb927.10.1450:mRNA	plectin, putative	Tb927.10.1450	0	N/A	
Tb927.10.14530	Tb927.10.14530:mRNA	19S proteasome non-atpase subunit 8	Tb927.10.14530	0	N/A	
Tb927.10.14550	Tb927.10.14550:mRNA	ATP-dependent RNA helicase HEL67	Tb927.10.14550	0	N/A	
Tb927.10.14610	Tb927.10.14610:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.10.14610	0	N/A	
Tb927.10.14690	Tb927.10.14690:mRNA	syntaxin, putative	Tb927.10.14690	1	N/A	
Tb927.10.14700	Tb927.10.14700:mRNA	hypothetical protein, conserved	Tb927.10.14700	0	N/A	
Tb927.10.14710	Tb927.10.14710:mRNA	40S ribosomal protein S2, putative	Tb927.10.14710	0	N/A	
Tb927.10.14730	Tb927.10.14730:mRNA	chaperone protein DnaJ, putative	Tb927.10.14730	0	N/A	
Tb927.10.14740	Tb927.10.14740:mRNA	hypothetical protein, conserved	Tb927.10.14740	0	N/A	
Tb927.10.14750	Tb927.10.14750:mRNA	fibrillarin, putative	Tb927.10.14750	0	N/A	
Tb927.10.14760	Tb927.10.14760:mRNA	clathrin light chain, putative	Tb927.10.14760	0	N/A	
Tb927.10.14770	Tb927.10.14770:mRNA	Associated kinase of Tb14-3-3	Tb927.10.14770	0	N/A	
Tb927.10.14780	Tb927.10.14780:mRNA	Canertinib-binding protein kinase 1	Tb927.10.14780	0	N/A	
Tb927.10.14790	Tb927.10.14790:mRNA	metallo-peptidase, Clan MG, Family M24	Tb927.10.14790	0	N/A	
Tb927.10.14800	Tb927.10.14800:mRNA	mitogen-activated protein kinase 9, putative	Tb927.10.14800	0	N/A	
Tb927.10.14810	Tb927.10.14810:mRNA	multiprotein-bridging factor 1, putative	Tb927.10.14810	0	N/A	
Tb927.10.14840	Tb927.10.14840:mRNA	Mitochondrial ADP/ATP carrier protein 5a	Tb927.10.14840	3	N/A	
Tb927.10.14860	Tb927.10.14860:mRNA	NADH-ubiquinone oxidoreductase B14 subunit	Tb927.10.14860	0	NN Sum: 2, NN D: .43, HMM Prob: .84	
Tb927.10.14870	Tb927.10.14870:mRNA	hypothetical protein, conserved	Tb927.10.14870	0	N/A	
Tb927.10.14890	Tb927.10.14890:mRNA	C-terminal motor kinesin, putative	Tb927.10.14890	0	N/A	
Tb927.10.1490	Tb927.10.1490:mRNA	Temperature dependent protein affecting M2 dsRNA replication, putative	Tb927.10.1490	0	N/A	
Tb927.10.14980	Tb927.10.14980:mRNA	intraflagellar transport protein 52	Tb927.10.14980	0	N/A	
Tb927.10.1500	Tb927.10.1500:mRNA	methionyl-tRNA synthetase, putative	Tb927.10.1500	0	N/A	
Tb927.10.15000	Tb927.10.15000:mRNA	hypothetical protein, conserved	Tb927.10.15000	0	N/A	
Tb927.10.1510	Tb927.10.1510:mRNA	CCR4-NOT transcription complex subunit 1	Tb927.10.1510	0	N/A	
Tb927.10.15130	Tb927.10.15130:mRNA	Vesicle-trafficking protein SEC22, putative	Tb927.10.15130	1	NN Sum: 0, NN D: .29, HMM Prob: .56	
Tb927.10.15180	Tb927.10.15180:mRNA	nucleosome assembly protein, putative	Tb927.10.15180	0	N/A	
Tb927.10.1520	Tb927.10.1520:mRNA	ras-related protein Rab21, putative	Tb927.10.1520	0	N/A	
Tb927.10.15210	Tb927.10.15210:mRNA	nuclear cap binding complex subunit CBP30	Tb927.10.15210	0	N/A	
Tb927.10.15270	Tb927.10.15270:mRNA	metallo- peptidase, Clan MG, Family M24	Tb927.10.15270	0	N/A	
Tb927.10.15290	Tb927.10.15290:mRNA	tubulin binding cofactor c, putative	Tb927.10.15290	0	N/A	
Tb927.10.15310	Tb927.10.15310:mRNA	hypothetical protein, conserved	Tb927.10.15310	0	N/A	
Tb927.10.15330	Tb927.10.15330:mRNA	CYTH domain containing protein, putative	Tb927.10.15330	0	N/A	
Tb927.10.15350	Tb927.10.15350:mRNA	histone H3 variant V	Tb927.10.15350	0	N/A	
Tb927.10.15360	Tb927.10.15360:mRNA	hypothetical protein, conserved	Tb927.10.15360	0	NN Sum: 0, NN D: .23, HMM Prob: .85	
Tb927.10.15380	Tb927.10.15380:mRNA	U3 snoRNA-associated protein UTP11, putative	Tb927.10.15380	0	N/A	
Tb927.10.1540	Tb927.10.1540:mRNA	zinc finger protein family member, putative	Tb927.10.1540	0	N/A	
Tb927.10.15420	Tb927.10.15420:mRNA	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5, putative	Tb927.10.15420	0	N/A	
Tb927.10.15440	Tb927.10.15440:mRNA	hypothetical protein, conserved	Tb927.10.15440	0	N/A	
Tb927.10.1550	Tb927.10.1550:mRNA	proteasome regulatory non-ATP-ase subunit 5	Tb927.10.1550	0	N/A	
Tb927.10.15520	Tb927.10.15520:mRNA	signal recognition particle protein, putative	Tb927.10.15520	0	N/A	
Tb927.10.15530	Tb927.10.15530:mRNA	ABC transport system ATP-binding protein, putative	Tb927.10.15530	0	N/A	
Tb927.10.15540	Tb927.10.15540:mRNA	predicted VPS53-like domain protein	Tb927.10.15540	0	N/A	
Tb927.10.15550	Tb927.10.15550:mRNA	hypothetical protein, conserved	Tb927.10.15550	0	N/A	
Tb927.10.15590	Tb927.10.15590:mRNA	macrophage infectivity potentiator, precursor, putative	Tb927.10.15590	0	NN Sum: 4, NN D: .81, HMM Prob: .98	
Tb927.10.1560	Tb927.10.1560:mRNA	Nucleolar protein 91	Tb927.10.1560	0	N/A	
Tb927.10.15640	Tb927.10.15640:mRNA	WD domain, G-beta repeat, putative	Tb927.10.15640	0	N/A	
