protein_id,amplitude,amplitude_err,tau,tau_err,offset,offset_err,half_life,bins,exp_rmse,protein_groups,desc,used_for_analysis,GO,0h_A,025h_A,0.5h_A,1h_A,2h_A,4h_A,8h_A,20h_A,28h_A,0h_B,025h_B,0.5h_B,1h_B,2h_B,4h_B,8h_B,20h_B,28h_B,0h_C,025h_C,0.5h_C,1h_C,2h_C,4h_C,8h_C,20h_C,28h_C
Tb927.10.4450,0.939939896,,26.50961012,,8.56E-10,,18.35349023,10,0.023549757,Tb927.10.4450;Tb10.v4.0035;Tb11.v5.0757,"stress-inducible protein STI1-like, putative;stress-inducible protein STI1-like, putative;stress-inducible protein STI1-like, putative",1,GO:0005515|protein binding,,0.922602441,0.937308372,0.948785217,0.895643329,0.815088225,0.669304779,0.407702175,0.266825927,0.94488853,0.91640393,,0.906976356,0.888585397,0.810184011,0.69745773,0.362345813,0.305506957,0.939068063,0.91330058,0.911406389,0.953621091,0.904257135,0.790659666,0.693855028,0.430289518,0.294165487
Tb927.10.4460,0.818885625,0.092332843,10.70756825,3.39022743,0.253643298,0.046730093,11.35800051,3,0.02005598,Tb927.10.4460;Tb10.v4.0036,"leucine carboxyl methyltransferase, putative;leucine carboxyl methyltransferase, putative",1,GO:0008168|methyltransferase activity; GO:0032259|methylation; GO:0003880|protein C-terminal carboxyl O-methyltransferase activity; GO:0006464|cellular protein modification process,,,,,0.83307042,0.856870235,0.579511111,0.328381476,0.324908941,,,0.278087867,,,0.744285256,0.665161575,0.299537659,,,,,,,0.80630972,0.628104179,0.401681694,0.304701399
Tb927.10.4470,,,,,,,,none,,Tb927.10.4470;Tb10.v4.0037,"hypothetical protein, conserved;hypothetical protein, conserved",0,GO:0005488|binding,,,,,,0.803702829,0.665790063,0.40767575,,,,,,,,,,,,,,,,0.81450296,0.65618864,0.460192708,0.318690052
Tb927.10.4480,,,,,,,,none,,Tb927.10.4480;Tb10.v4.0038,"DNA damage repair protein, putative;chrX additional, unordered contigs",0,GO:0006281|DNA repair; GO:0005634|nucleus; GO:0003684|damaged DNA binding; GO:0005654|nucleoplasm; GO:0005737|cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb927.10.4500,0.609338379,0.073943347,13.084801,9.592730635,0.177465053,0.143157515,13.5417391,5,0.023267393,Tb927.10.4500;Tb10.v4.0040,"cap guanine-N7 methyltransferase;mRNA capping methyltransferase, putative",1,GO:0006370|7-methylguanosine mRNA capping; GO:0009452|7-methylguanosine RNA capping; GO:0008168|methyltransferase activity,,,,,,0.613440831,0.553937651,0.254289322,0.295049376,,,,,,0.636655668,0.583287366,0.331925538,0.229902077,,,,,0.828714216,,0.499194598,0.253232368,
Tb10.v4.0041,0.959951492,0.026801828,14.52576686,1.971236364,0.031868231,0.041725189,10.53628119,3,0.012061965,Tb10.v4.0041;Tb927.10.4510,"PUB domain containing protein, putative;PUB domain containing protein, putative",1,none,,,,0.897933631,,0.748647039,0.536357249,0.298888173,0.161184661,,,,,0.888478143,0.775851389,0.609080144,0.334944956,0.168354908,,0.925724969,0.915644765,,0.857888217,0.74309248,0.545302795,0.262829442,0.181405918
Tb927.10.4330,0.99883504,,24.11490155,,4.84E-10,,16.69360473,9,0.013291364,Tb927.10.4330;Tb11.v5.1012;Tb10.v4.0043,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative;2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative;chrX additional, unordered contigs",1,GO:0003824|catalytic activity; GO:0003863|3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity; GO:0005947|mitochondrial alpha-ketoglutarate dehydrogenase complex; GO:0005739|mitochondrion; GO:0008152|metabolic process,,,,,,,0.638898998,0.417298415,0.270550642,0.940350686,,,0.933391713,0.894295017,0.778099647,0.716340566,0.439546727,0.319411309,,,,0.968882263,0.936996462,0.85391494,0.717377347,0.439600101,0.322823373
Tb927.10.4320,0.942114676,,20.23634369,,3.64E-09,,14.00519335,6,0.05694013,Tb927.10.4320;Tb10.v4.0044,"hypothetical protein, conserved;hypothetical protein, conserved",1,none,,,,,,0.792722438,0.610435814,0.312602239,0.239793143,,,,0.908159079,,0.751466041,0.789927007,0.346552634,,,0.940435553,,,0.817733552,0.756918416,0.677580627,0.226449309,0.232697967
Tb927.10.4310,0.860347862,0.04971708,20.07413534,2.588245398,0.097570464,0.0508535,16.3053478,8,0.016252207,Tb927.10.4310;Tb10.v4.0045,"prohibitin 2, putative;prohibitin, putative",1,GO:0006508|proteolysis; GO:0001302|replicative cell aging; GO:0070129|regulation of mitochondrial translation; GO:0005739|mitochondrion; GO:0005737|cytoplasm,0.952253751,0.951188724,0.945115679,0.951791405,0.928612191,0.814200141,0.677192158,0.39646012,0.312612944,0.946539467,0.941610016,0.972240588,0.965418904,0.884992584,0.835916564,0.654902458,0.414355231,0.309745491,0.956644694,0.968760345,0.926697896,0.932968214,0.89072933,0.806067931,0.685839546,0.404926887,0.31063916
Tb10.v4.0052,1.004568947,2.373109478,43.09479847,111.2837583,5.34E-10,0.374935745,29.84946677,none,0.105952493,Tb10.v4.0052;Tb927.10.10360;Tb10.v4.0053,microtubule-associated protein 2;Microtubule-associated repetitive protein;hypothetical protein,0,none,0.986302154,0.981862696,0.977165158,0.974925978,0.959552278,0.908305743,0.813648294,0.416198331,0.28505427,0.987125089,0.980267288,0.978824133,0.976112214,0.959678978,0.924679538,0.798479463,0.43086248,0.293303316,0.986211741,0.981172775,0.979344307,0.976754326,0.95962417,0.921300107,0.796645729,0.409415926,0.301269346
Tb927.10.6950,0.963814907,,21.19462656,,2.00E-10,,14.66942434,7,0.01682312,Tb927.10.6950;Tb927.10.6910;Tb11.v5.0496;Tb10.v4.0247,"sterol 24-c-methyltransferase, putative;Sterol methyltransferase, putative;sterol 24-c-methyltransferase, putative;s-adenosyl-L-methionine-c-24-delta-sterol-methyl transferase a, putative",1,GO:0006694|steroid biosynthetic process; GO:0008168|methyltransferase activity; GO:0008152|metabolic process; GO:0005783|endoplasmic reticulum; GO:0005737|cytoplasm,0.960035777,0.949495954,0.935853346,0.934845328,0.881208572,0.836524575,0.67145313,0.372177027,0.242609606,,0.954867717,,,0.898365734,0.853766986,0.724452103,0.370813606,0.264993578,,0.936252287,0.921662071,0.918982229,0.901392473,0.79446448,0.651780084,0.381046615,0.236776125
Tb11.01.2730,,,,,,,,none,,Tb11.01.2730,"hypothetical protein, conserved",0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb11.0190,,,,,,,,none,,Tb11.0190;Tb11.v5.0129,"variant surface glycoprotein (VSG, pseudogene), putative;variant surface protein (VSG), putative",0,none,,,,,,,,,,,,,,,,0.705652062,,,,,,,,,,,
Tb11.02.5070b,1.038217691,0.040108597,4.634318705,0.410075464,0.049235352,0.011736739,3.414336734,1,0.023588,Tb11.02.5070b;Tb927.11.7212,"hypothetical protein, conserved;NADH-ubiquinone oxidoreductase complex I subunit, putative",1,none,,,,0.833398792,0.738041613,0.41337417,0.249863254,0.055954797,,,,0.878105364,,,0.419343629,0.229183434,,,,,,0.91700278,0.716958355,0.476418747,0.255263313,0.068987875,
Tb927.11.7213,0.7987768,0.022466759,7.449072107,0.54432272,0.13586877,0.011301925,6.524774142,1,0.010023181,Tb927.11.7213;Tb11.02.5080b,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative;Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative",1,none,,,,0.91522816,0.757875368,0.633098134,0.376412764,0.190863283,0.125092113,,,,,0.779711596,0.561538786,0.418746827,0.210040233,0.158815309,,,,0.716983806,0.719535761,0.61137931,0.385336057,0.187934657,
Tb11.02.5090b,,,,,,,,none,,Tb11.02.5090b;Tb11.02.5090,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene;proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene",0,GO:0005634|nucleus; GO:0001510|RNA methylation; GO:0009452|7-methylguanosine RNA capping; GO:0008168|methyltransferase activity,,,,,,,0.661636367,0.335815333,,,,,,,,0.7314649,,,,,,,0.887283862,,0.657545803,0.350597965,
Tb927.11.7214,,,,,,,,none,,Tb927.11.7214;Tb11.02.5100b,"hypothetical protein, conserved;hypothetical protein, conserved",0,GO:0005739|mitochondrion,,,,0.808518892,,,,,,,,,,0.815603089,0.615797193,,0.242950987,0.163112778,,,,,,0.691743317,0.590219737,,
Tb11.02.5105b,0.898276809,0.040453882,4.610660522,0.936733553,0.141726944,0.05811738,3.960646997,1,0.019323635,Tb11.02.5105b;Tb11.02.5105,"hypothetical protein, conserved;Present in the outer mitochondrial membrane proteome 15",1,GO:0005634|nucleus,,,0.891051438,0.825966341,0.756861986,0.506676037,0.315159846,,,,,,0.885618357,0.726747152,0.513780468,0.295975722,,,,,,0.835234284,0.79332458,0.528539276,0.304647238,0.06277137,
Tb927.11.7216,,,,,,,,none,,Tb927.11.7216;Tb11.02.5110b,"origin recognition complex subunit 1 (ORC1), putative;origin recognition complex subunit 1 (ORC1), putative",0,GO:0000808|origin recognition complex; GO:0005634|nucleus; GO:0005524|ATP binding; GO:0006260|DNA replication; GO:0006270|DNA replication initiation; GO:0003677|DNA binding; GO:0005737|cytoplasm; GO:0044786|cell cycle DNA replication,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb927.11.7218,0.950245701,,15.86961101,,2.68E-10,,10.97840483,3,0.019944566,Tb927.11.7218;Tb11.02.5120b,"mitochondrial edited mRNA stability factor 1 subunit;mitochondrial edited mRNA stability factor 1 subunit, putative",1,GO:0048255|mRNA stabilization; GO:0003723|RNA binding; GO:0020023|kinetoplast; GO:0000963|mitochondrial RNA processing; GO:0005739|mitochondrion; GO:0005737|cytoplasm; GO:0043631|RNA polyadenylation,,,,,,,0.530107998,0.221438252,0.161269017,,,,0.906102364,,0.739981153,0.608394512,0.225250502,0.140010897,,,,,0.877164967,0.721327056,0.584356103,0.265556975,0.184751301
Tb11.02.5360b,0.895612908,0.064790656,16.49202418,3.044966949,0.099535431,0.074525756,13.34911713,5,0.014890008,Tb11.02.5360b;Tb11.02.5360,"hypothetical protein, conserved;hypothetical protein, conserved",1,none,,,,,,0.802032078,0.795300579,,0.242071798,,,,0.955678073,0.890190874,0.83957319,0.589274648,0.339720849,0.29601569,,,,0.906625593,0.895367789,0.812201545,0.651133623,0.387162937,0.260724545
Tb11.02.5370b,,,,,,,,none,,Tb11.02.5370b;Tb11.02.5370,"hypothetical protein, conserved;hypothetical protein, conserved",0,none,,,,,,0.741641976,,,,,,,,,,,,,,,,,,0.706861582,,,
Tb11.02.5380b,0.784832082,0.020526216,15.50633636,1.676456737,0.123043898,0.032947624,13.36550147,5,0.003344227,Tb11.02.5380b;Tb11.02.5380,"exosome complex exonuclease RRP44p homologue, putative;exosome complex exonuclease RRP44p homologue",1,GO:0005634|nucleus; GO:0000178|exosome (RNase complex); GO:0005085|guanyl-nucleotide exchange factor activity; GO:0004540|ribonuclease activity; GO:0005739|mitochondrion; GO:0006364|rRNA processing,,,,,0.909179256,0.752075466,0.612025807,0.364010962,0.230600304,,,,,,0.715491485,0.600425644,0.33069204,0.272552872,,,,,,0.727795562,0.577488429,0.336044745,0.242307876
Tb11.02.5390b,0.878955477,0.077274305,18.22267347,2.908597684,0.089060876,0.080929472,14.55291293,6,0.011562297,Tb11.02.5390b;Tb11.02.5390,"mRNA processing protein, putative;mRNA processing protein, putative",1,GO:0000963|mitochondrial RNA processing; GO:0005739|mitochondrion; GO:0003729|mRNA binding,,0.933799379,,,0.879230536,0.773959022,0.659306809,0.383144356,0.28126121,,0.94933814,,0.928383352,0.895034175,0.779834378,0.661858127,0.354649293,0.320996589,0.944716125,0.930654911,0.930289781,0.919221568,0.885809803,0.805686854,0.645121907,0.376065968,0.284425809
Tb11.02.5400b,0.911986805,0.069575905,23.77672643,2.759190452,0.033262029,0.070210462,17.34143866,9,0.016528141,Tb11.02.5400b;Tb11.02.5400,"cystathionine beta-synthase, putative;cystathionine beta-synthase, putative",1,GO:0004122|cystathionine beta-synthase activity; GO:0019344|cysteine biosynthetic process,0.991158782,0.93769561,0.936819564,0.963728831,0.910658618,0.808676896,0.713623261,0.445727257,0.330081064,0.946891565,0.931963297,0.870621704,0.915974002,0.878855021,0.772839852,0.691773461,0.355426196,0.29717026,0.949043239,0.935207824,0.925718689,0.943077981,0.881428236,0.772241679,0.678136101,0.448056414,0.317491094
Tb11.02.5410b,0.812555473,0.00132497,13.68296195,0.061285554,0.219054955,0.001549952,13.75140783,5,0.001295425,Tb11.02.5410b;Tb11.02.5410,"ubiquitin activating enzyme, putative;ubiquitin activating enzyme (E1) subunit Aos1, putative",1,GO:0008641|ubiquitin-like modifier activating enzyme activity; GO:0003824|catalytic activity,,,,,0.914021448,0.805308613,0.666298232,0.413019675,0.313132665,,,,,,0.845107997,0.668090864,0.367497107,0.326568069,,,,,0.9279972,0.82827203,0.675718101,0.433325771,0.332892539
Tb11.02.5420b,0.945602469,0.09390113,25.03674853,4.304678322,1.29E-10,0.010802986,17.33258035,9,0.016976031,Tb11.02.5420b;Tb11.02.5420,"NADPH-cytochrome p450 reductase, putative;NADPH-cytochrome p450 reductase, putative",1,GO:0010181|FMN binding; GO:0016021|integral component of membrane; GO:0055114|oxidation-reduction process; GO:0016491|oxidoreductase activity,,0.932122199,,0.91590424,0.880136315,0.812094435,0.666873186,0.453106281,0.287759809,0.947423084,0.933795247,,0.953613599,0.885208117,0.864038277,0.694263291,0.387737543,0.300572558,0.942599999,0.938052785,0.920570136,0.912593108,0.87239302,0.843038355,0.724660725,0.395900977,0.309783615
Tb11.02.5430b,0.876910866,,31.20301738,,2.65E-09,,21.60671231,10,0.062601982,Tb11.02.5430b;Tb11.02.5430,"hypothetical protein, conserved;hypothetical protein, conserved",1,none,,,,,,0.77138448,0.686021969,0.342977941,0.29013989,,,0.56209905,,0.863005411,,0.683422474,0.342294063,0.33450043,,0.937195447,,0.910798382,0.638276022,0.768216106,0.679842777,0.38598998,0.272091558
Tb927.6.4980,0.842029855,0.032523057,14.67052246,1.142026385,0.158302881,0.034345681,13.19601483,5,0.012414467,Tb927.6.4980;Tb927.11.7705;Tb11.0390;Tb11.0290,"40S ribosomal protein S14;ribosomal protein S11, putative;chrXI additional, unordered contigs;chrXI additional, unordered contigs",1,GO:0006412|translation; GO:0015935|small ribosomal subunit; GO:0005840|ribosome; GO:0003735|structural constituent of ribosome; GO:0005730|nucleolus; GO:0005737|cytoplasm,0.978460239,0.981842482,0.968076799,0.95595399,0.897710236,0.799904545,0.641198179,0.374986639,0.280113156,0.989931872,0.981344842,0.974674982,0.9614757,0.92783666,0.792755518,0.65433234,0.367542507,0.293306219,0.976693158,0.94628337,0.974026261,0.951839236,0.92144095,0.792392441,0.644745124,0.36105918,0.30023939
Tb927.11.7690,,,,,,,,none,,Tb927.11.7690;Tb11.0320;Tb11.0420,hypothetical protein;hypothetical protein;hypothetical protein,0,GO:0005739|mitochondrion; GO:0005737|cytoplasm,,,,,,,0.729075022,,0.279755934,,,,,,,0.700720258,0.386508164,,,,,,,,,,
Tb927.11.7650,,,,,,,,none,,Tb927.11.7650;Tb11.0350,hypothetical protein;hypothetical protein,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb11.0400,0.888740389,0.013447319,18.84582393,0.817161192,0.101271179,0.016876109,15.31757804,7,0.012337771,Tb11.0400;Tb927.11.7700;Tb11.0300,"P27 protein, putative;hypothetical protein;hypothetical protein",1,GO:0070069|cytochrome complex; GO:0005743|mitochondrial inner membrane; GO:0002082|regulation of oxidative phosphorylation,0.971164679,0.926534673,0.969057399,0.958924816,0.925092697,0.804444519,0.727897498,0.406626613,0.306038677,,0.95253013,0.949861595,0.943833049,0.902442033,0.830553623,0.686862768,0.401343435,0.302031563,0.989858158,0.962486809,,,,0.82176993,0.682378755,,0.302747477
Tb927.10.1130,,,,,,,,none,,Tb927.10.1130;Tb11.0520,"dynein arm light chain, axonemal, putative;dynein light chain, putative",0,GO:0005858|axonemal dynein complex; GO:0003777|microtubule motor activity,,,,,,,0.69789534,0.412601793,0.349900662,,,,,,,0.635433029,,,,,,,,,0.593180482,0.416723345,0.296174177
