protein_id,amplitude,amplitude_err,tau,tau_err,offset,offset_err,half_life,bins,exp_rmse,protein_groups,desc,used_for_analysis,GO,0h_A,05h_A,1h_A,2h_A,4h_A,8h_A,12h_A,0h_B,05h_B,1h_B,2h_B,4h_B,8h_B,12h_B,0h_C,05h_C,1h_C,2h_C,4h_C,8h_C,12h_C
Tb05.5K5.420,0.955712535,,8.377751261,,4.15E-09,,5.76647929,6,0.012558943,Tb05.5K5.420;Tb11.1140;Tb927.5.4860;Tb09.v4.0033,"variant surface glycoprotein (VSG, pseudogene), putative;expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), fragment",1,none,0.951516188,0.899855976,0.811171729,0.752720803,0.599232314,0.368433278,0.183691557,0.929186699,0.900659477,0.879654511,0.753425671,0.58576589,0.336512761,0.243579981,0.93030479,0.908044772,0.859399688,0.79330366,0.589932494,0.394371975,0.165768981
Tb927.5.4400,1.063725185,,10.51846625,,7.72E-10,,7.250309821,10,0.048578247,Tb927.5.4400;Tb05.5K5.50,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0005930|axoneme; GO:0005515|protein binding; GO:0005737|cytoplasm,0.984484829,0.95001579,0.884908798,0.89946984,0.75738031,0.502537892,0.304479043,0.991743494,0.948520024,0.927541181,0.886200501,0.757556499,0.51657955,0.297921777,0.914271846,1.004156919,0.932237599,0.885580117,0.71442742,0.504166134,0.316739024
Tb927.5.4410,1.070397025,0.012022518,4.853329634,0.218079814,0.00635981,0.009925297,3.352110113,1,0.010258183,Tb927.5.4410;Tb05.5K5.60,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0006364|rRNA processing,,0.979387809,0.872097487,0.736039115,0.494686441,0.197770086,0.118585016,,0.933113755,0.901381253,0.728724652,0.469898021,0.214664419,0.097525551,,0.939952548,0.872053629,0.70339087,0.478677181,0.197356237,0.095916653
Tb927.5.4420,0.986398971,0.03735941,7.122041535,0.827384335,0.067161198,0.042631298,5.394182321,5,0.014948439,Tb927.5.4420;Tb05.5K5.70,"nucleolar RNA helicase II, putative;nucleolar RNA helicase II, putative",1,GO:0003729|mRNA binding; GO:0005634|nucleus; GO:0003723|RNA binding; GO:0004386|helicase activity; GO:0005524|ATP binding; GO:0008026|ATP-dependent helicase activity; GO:0005730|nucleolus; GO:0005654|nucleoplasm; GO:0003676|nucleic acid binding,1.011065383,0.989080995,0.930470079,0.802530383,0.622977119,0.385092706,0.262286125,1.023075939,0.987296362,0.939141412,0.824399606,0.611091546,0.375762069,0.250206966,1.020548451,0.991086561,0.937826398,0.801091967,0.618039824,0.389774511,0.249996587
Tb927.5.4430,0.91138152,,5.530166649,,9.63E-11,,3.792684009,2,0.035874704,Tb927.5.4430;Tb05.5K5.80,"calcium/calmodulin-dependent protein kinase, putative;calcium/calmodulin-dependent protein kinase, putative",1,GO:0004674|protein serine/threonine kinase activity; GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation,,,0.787965022,0.633514691,0.462590123,0.111570608,,,0.829514523,0.7706381,0.704937396,0.379121283,0.17914959,,,0.834001524,0.800736346,0.659980298,0.479316716,,0.367442074
Tb927.5.4440,0.94268036,,10.13841076,,1.16E-09,,6.986875431,9,0.023492101,Tb927.5.4440;Tb05.5K5.90,"dynein light chain, putative;dynein light chain, putative",1,GO:0005930|axoneme; GO:0007017|microtubule-based process; GO:0030286|dynein complex; GO:0005737|cytoplasm,,0.906993695,0.861920426,0.783766747,0.642195244,0.41652343,0.287132451,0.937642406,0.916555916,0.911124564,0.822369042,0.632004516,0.42275455,0.227016358,0.93142173,0.916978455,0.859205702,0.818510539,0.645023597,0.401312085,0.270705591
Tb06.3A7.960,0.823703466,0.096210319,6.955376606,1.891809367,0.090551384,0.09674703,5.583759131,5,0.033092403,Tb06.3A7.960,hypothetical protein,1,none,0.920852921,0.751567482,0.881330219,0.667491456,0.54473816,0.382593412,0.258880908,0.913679382,0.793266524,0.838400949,0.713555365,0.58185809,0.332854076,0.225522776,0.914272768,0.786291071,0.774324021,0.723103478,0.588857397,0.372294128,0.244632613
Tb07.11L3.100,0.824639182,0.069648754,5.41515039,2.058544061,0.153365321,0.109835029,4.8151961,3,0.018944272,Tb07.11L3.100;Tb927.7.2150,SUMO-interacting motif-containing protein;SUMO-interacting motif-containing protein,1,none,,0.715593765,,0.636795025,0.589847129,0.364226793,0.390775779,,,0.775811701,0.722472876,0.480349579,0.306506629,0.327025197,,,,0.786051084,0.67439959,0.343753707,0.186862569
Tb927.7.2140,1.002222354,,5.539977601,,7.99E-11,,3.799484443,2,0.014001723,Tb927.7.2140;Tb07.11L3.90,"zinc finger protein family member, putative;zinc finger protein family member, putative",1,GO:0031981|nuclear lumen; GO:0003723|RNA binding; GO:0097014|ciliary plasm; GO:0046872|metal ion binding; GO:0010608|posttranscriptional regulation of gene expression; GO:0005654|nucleoplasm; GO:0005737|cytoplasm,,0.918617257,0.880849045,0.665381877,0.459104465,0.26000445,0.10958453,1.017555312,0.915522957,0.882709763,0.706740037,0.477725988,0.196865475,0.122280075,,0.902766053,0.841686119,0.710771053,0.536952566,0.273272691,0.09026016
Tb08.27P2.160,1.023276752,,7.331504046,,1.50E-11,,5.041275947,4,0.054122912,Tb08.27P2.160;Tb927.3.430;Tb08.27P2.520;Tb11.57.0050;Tb927.11.18800;Tb927.11.19120;Tb11.0700;Tb11.0220;Tb10.v4.0147;Tb10.v4.0255;Tb927.3.160;Tb927.11.19900;Tb927.11.20560;Tb927.11.20150,"expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), truncated;expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), frameshifted and degenerate;expression site-associated gene 3 (ESAG3) protein, putative;expression site-associated gene 3 (ESAG3) protein, putative (pseudogene);expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), degenerate;variant surface glycoprotein (VSG, pseudogene), putative;expression site-associated gene 3 (ESAG3, pseudogene), putative;expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), degenerate and frameshifted;expression site-associated gene 3 (ESAG3, pseudogene), putative;expression site-associated gene 3 (ESAG3), frameshifted and degenerate",1,none,0.944602516,0.924381721,0.887849134,0.834116414,0.656059538,0.336177732,0.24060395,0.990010647,0.937634885,1.00498316,0.90998615,0.640248142,0.366481844,0.198894872,0.925409126,1.045369794,0.997969606,0.805245033,0.701450038,0.356876317,0.19935684
Tb08.27P2.250,,,,,,,,none,,Tb08.27P2.250,"expression site-associated gene 3 (ESAG3), frameshift",0,none,,,,0.771699592,,,,,,,0.763116619,,,,,,,,0.52147881,,
Tb09.v4.0010,,,,,,,,none,,Tb09.v4.0010;Tb927.9.15680,"variant surface glycoprotein (VSG), pseudogene;transferrin receptor subunit",0,GO:0020012|evasion or tolerance of host immune response,,,,,,,,,,,,,,,,,,,,,
Tb927.9.15850,,,,,,,,none,,Tb927.9.15850;Tb09.v4.0110;Tb09.v4.0014,hypothetical protein;hypothetical protein;hypothetical protein,0,none,,,,0.78295674,0.564397443,0.263110742,0.15730432,,,,0.728730144,0.499573543,0.224880975,0.304257084,,,,0.772081994,0.554513732,0.173759981,
Tb09.v4.0015,0.915672503,0.040928108,3.158816142,0.64471625,0.111236226,0.015761813,2.550535345,1,0.052493276,Tb09.v4.0015;Tb927.9.15870,hypothetical protein;hypothetical protein,1,none,0.94007827,0.881933388,0.872020418,0.561327448,0.257097498,0.111437029,0.171054999,0.901508914,0.862692744,0.875922298,0.566939896,0.348636804,0.233228906,0.130755395,1.008099357,0.887804932,0.839219505,0.594559319,0.286764908,0.148988083,0.13279319
Tb11.v5.0463,0.96072438,0.027851892,2.750793989,0.165105868,0.041453687,0.006149853,1.984919386,1,0.024908271,Tb11.v5.0463;Tb09.v4.0016;Tb927.9.15890,"expression site-associated gene (ESAG) protein, putative;expression site- associated gene (ESAG) protein, putative;expression site-associated gene 5 (ESAG5) protein, putative",1,GO:0008289|lipid binding,0.993868065,0.83785921,0.686605626,0.429865818,0.252482059,0.100061947,0.067182241,0.986403754,0.884545683,0.768830282,0.473681478,0.270792309,0.115895673,0.056287885,0.907781598,0.875932076,0.718749938,0.482964034,0.282405499,0.09227356,0.04937582
Tb09.v4.0017,1.342767271,,10.06100513,,1.54E-10,,6.93322193,none,0.232051167,Tb09.v4.0017;Tb927.9.15930,"rab1 (small gtp-binding protein rab1, putative);small GTPase, putative",0,GO:0003924|GTPase activity; GO:0005525|GTP binding,0.933885646,,0.514319961,,0.874327357,0.63864498,0.399630859,,0.945062159,,0.960069898,0.891992434,,0.406956038,,,,0.314198689,0.912171443,0.6143962,0.40778238
Tb09.v4.0067,1.04606875,0.114410181,9.454160288,1.819911926,7.03E-11,0.013747125,6.512589137,8,0.01536792,Tb09.v4.0067,"retrotransposon hot spot protein, pseudogene",1,none,1.012921186,1.00482186,0.932625077,0.860932309,0.679084613,0.406451942,0.335117063,1.029072193,0.996812956,0.970927602,0.873026563,0.69793374,0.418468854,0.272677648,1.026657399,1.010776623,0.959621772,0.847085794,0.682659531,0.454519698,0.294672797
Tb09.v4.0107,,,,,,,,none,,Tb09.v4.0107,"expression site-associated gene 5 (ESAG5) protein, putative",0,GO:0008289|lipid binding,,0.75061837,0.502691193,,0.20048206,,,,0.670146068,0.611674957,,0.166376114,,0.039051782,0.83498242,,0.513241761,,0.198823772,,
Tb09.v4.0111,,,,,,,,none,,Tb09.v4.0111,"variant surface glycoprotein (VSG, pseudogene), putative",0,GO:0020012|evasion or tolerance of host immune response,,,,0.26335802,,,,,,0.589333469,0.273316742,,,,,,0.717913922,,,,
Tb09.v4.0119,,,,,,,,none,,Tb09.v4.0119,"variant surface glycoprotein (VSG, pseudogene), putative",0,none,,,,,,,,,,,0.317579351,,,,,,,,,,
Tb09.v4.0150,,,,,,,,none,,Tb09.v4.0150,"variant surface glycoprotein (VSG, pseudogene), putative",0,none,,0.634512978,,0.580774077,0.440013514,,,,0.661814932,,,,,,,,0.557787839,,0.301656695,0.189122995,
Tb09.v4.0151,,,,,,,,none,,Tb09.v4.0151,hypothetical protein,0,none,,0.554512312,0.416159493,0.254985282,,,,,,0.482453826,0.735193159,,,,,0.578462479,0.510256522,0.323334754,,,
Tb09.v4.0154,,,,,,,,none,,Tb09.v4.0154,"expression site-associated gene 3 (ESAG3, pseudogene), putative",0,none,,,0.88752641,0.837090485,0.674963359,,0.219254765,,,0.898804583,0.809016015,0.600224559,,0.202975132,,,,0.77081827,0.658145355,,
Tb927.10.4430,0.901737178,,5.857069194,,1.67E-09,,4.019275597,2,0.018285157,Tb927.10.4430;Tb10.v4.0033;Tb11.v5.0767,"pumillo RNA binding protein PUF1;pumillo RNA binding protein PUF1;pumillo RNA binding protein PUF1, putative",1,GO:0003729|mRNA binding; GO:0003723|RNA binding; GO:0016071|mRNA metabolic process; GO:0010608|posttranscriptional regulation of gene expression; GO:0016049|cell growth; GO:0005737|cytoplasm; GO:0005488|binding,0.900992335,0.799276893,0.719522368,0.681344144,0.472188274,0.232048038,0.139292659,0.886464391,0.805849644,0.753730603,0.661910915,0.515290898,0.238812415,0.116987728,0.908750704,0.845910413,0.745875549,0.652259905,0.4734717,0.262748375,0.112862864
Tb927.10.4440,1.011835685,0.351697214,7.060569819,3.457999648,2.84E-10,0.036260563,4.853478653,3,0.023524941,Tb927.10.4440;Tb10.v4.0034,"predicted SAP domain protein;SAP domain containing protein, putative",1,GO:0005635|nuclear envelope; GO:0005634|nucleus,,0.944651019,0.775497519,0.766144453,0.57987556,0.477030828,0.139675365,,0.908217413,0.854713438,0.764224184,0.496555357,0.255358878,0.126516394,,0.960775549,0.884604255,0.758214601,0.547556004,0.269817244,
Tb927.10.4450,1.0376384,,8.948515824,,8.74E-11,,6.162103102,7,0.035437635,Tb927.10.4450;Tb10.v4.0035;Tb11.v5.0757,"stress-inducible protein STI1-like, putative;stress-inducible protein STI1-like, putative;stress-inducible protein STI1-like, putative",1,GO:0005515|protein binding,0.979036769,0.951259584,0.917265249,0.864394922,0.684961521,0.382023435,0.232866596,0.981924143,0.96113113,0.914526056,0.874850953,0.681087144,0.395353615,0.231758382,0.963995508,0.971712624,0.910484324,0.861024706,0.680763191,0.389420853,0.238786579
Tb927.10.4460,0.97973286,,8.718334011,,3.21E-11,,6.002553228,7,0.027118364,Tb927.10.4460;Tb10.v4.0036,"leucine carboxyl methyltransferase, putative;leucine carboxyl methyltransferase, putative",1,GO:0008168|methyltransferase activity; GO:0032259|methylation; GO:0003880|protein C-terminal carboxyl O-methyltransferase activity; GO:0006464|cellular protein modification process,0.984928911,0.932786808,0.897073335,0.770234827,0.63191213,0.43616495,0.215542901,0.915448382,0.928915185,0.856866739,0.793493864,0.658826785,0.39907655,0.215581289,0.889841012,0.909776511,0.853219015,0.707578305,0.672997244,0.405767426,0.237282691
Tb927.10.4470,0.836200775,0.051756835,6.750129765,1.660193169,0.131152934,0.063242771,5.779914065,6,0.04136305,Tb927.10.4470;Tb10.v4.0037,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0005488|binding,,,0.902193715,0.760336735,0.643364491,0.390264812,0.351623732,,,0.681440443,0.769414798,0.568800831,0.403818049,0.278464737,,,0.758143764,0.904017012,0.55479746,0.36152253,0.266721302
Tb927.10.4490,1.013467229,0.039109513,9.059157385,0.765282883,0.019130724,0.047477756,6.410319401,8,0.0065375,Tb927.10.4490;Tb10.v4.0039,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0005737|cytoplasm,,,,0.808112322,0.663100496,0.498302357,,,,,0.845613249,0.675905711,0.380898932,0.324130831,,,0.831197179,0.844041732,0.672998178,0.473588438,0.247290127
Tb927.10.4500,0.96619045,0.262503537,8.775819154,5.77025486,5.86E-10,0.069946618,6.042398897,7,0.03437188,Tb927.10.4500;Tb10.v4.0040,"cap guanine-N7 methyltransferase;mRNA capping methyltransferase, putative",1,GO:0006370|7-methylguanosine mRNA capping; GO:0009452|7-methylguanosine RNA capping; GO:0008168|methyltransferase activity,,,0.8825662,0.738911949,0.600676807,0.426706913,0.215772362,,,,0.768667314,0.612907887,0.458491321,0.228986464,,,0.840632117,0.676032982,0.533255072,0.42723858,0.204714867
Tb10.v4.0041,1.017635897,,6.956319001,,6.44E-10,,4.781217495,3,0.091245391,Tb10.v4.0041;Tb927.10.4510,"PUB domain containing protein, putative;PUB domain containing protein, putative",1,none,,0.954552365,0.872298257,0.79454498,0.549510698,0.314060684,0.166563042,,,0.482549204,0.733615749,0.596151548,0.346347816,0.191137183,0.767550267,,,0.766456482,0.575303473,0.316463071,0.163123584
Tb927.10.4330,0.773453406,0.024213701,4.61446007,0.592921412,0.222471439,0.024001805,4.703185956,3,0.028275823,Tb927.10.4330;Tb11.v5.1012;Tb10.v4.0043,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative;2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative;chrX additional, unordered contigs",1,GO:0003824|catalytic activity; GO:0003863|3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity; GO:0005947|mitochondrial alpha-ketoglutarate dehydrogenase complex; GO:0005739|mitochondrion; GO:0008152|metabolic process,,,0.873420078,0.773975263,0.605082049,0.379783105,0.257883431,,0.882512542,0.812640703,0.719071079,0.488837015,0.305391088,0.297774099,0.757146951,0.980552393,0.65380583,0.665303281,0.598571198,0.380716025,0.262508789
Tb927.10.4320,0.959033371,,10.01336551,,1.63E-11,,6.90020066,9,0.034845499,Tb927.10.4320;Tb10.v4.0044,"hypothetical protein, conserved;hypothetical protein, conserved",1,none,0.936411973,0.898739973,0.895052916,0.825906549,0.705487842,0.422828631,0.2592929,0.915425735,0.882401986,0.892976257,0.819083181,0.676885125,0.385809531,0.238620802,0.924712737,0.887898321,0.880957344,0.843233436,0.701548822,0.510798377,0.256695191
Tb927.10.4310,0.924577561,0.019856644,7.614527884,0.462942747,0.081696863,0.022286563,5.936474543,6,0.008508605,Tb927.10.4310;Tb10.v4.0045,"prohibitin 2, putative;prohibitin, putative",1,GO:0006508|proteolysis; GO:0001302|replicative cell aging; GO:0070129|regulation of mitochondrial translation; GO:0005739|mitochondrion; GO:0005737|cytoplasm,1.003321131,0.937568837,0.871491075,0.777849108,0.621215587,0.393829798,0.282198875,1.009658471,0.974728574,0.917419936,0.799588202,0.632755067,0.419471091,0.274217851,0.979394976,0.97255302,0.90276644,0.817225199,0.591793362,0.406764171,0.271601959
Tb10.v4.0066,0.957225698,,9.297415714,,4.90E-11,,6.403942077,8,0.024414142,Tb10.v4.0066,"expression site-associated gene 3 (ESAG3, pseudogene), putative",1,none,0.940097545,0.906794917,0.841630785,0.804159504,0.62817348,0.357785014,0.271949972,0.918180772,0.902452352,0.882268065,0.827421934,0.631669213,0.412921742,0.245750834,0.894407028,0.909649906,0.879867091,0.783873259,0.644030054,0.382777709,0.222028207
Tb10.v4.0071,,,,,,,,none,,Tb10.v4.0071;Tb11.v5.0462;Tb927.11.18720;Tb11.1040,"variant surface glycoprotein (VSG, pseudogene), putative /product;Variant Surface Glycoprotein, putative;variant surface protein (VSG), putative;variant surface glycoprotein (VSG), putative",0,none,,,,0.541850488,0.386353019,,,,,,0.651286369,,,0.312097221,,,,,0.434026433,,
Tb10.v4.0109,1.090030517,,8.045140783,,4.55E-10,,5.535931242,5,0.032789218,Tb10.v4.0109,"variant surface glycoprotein (VSG, pseudogene), putative",1,none,1.041885502,1.02197103,0.990259326,0.899928519,0.664648466,0.379491012,0.194064737,1.039233849,1.018959149,0.993385336,0.895531716,0.669761703,0.38230565,0.212653417,1.037673175,1.023117186,0.994358091,0.897884588,0.668117783,0.375644432,0.208716754
Tb10.v4.0217,3.43E-13,0.024503909,4.322840628,1599176636,0.735527493,7.488289743,,none,0.178513406,Tb10.v4.0217,hypothetical protein,0,none,0.723119858,0.46777437,0.836816691,0.284797589,0.739725585,0.547272615,,0.858673609,0.6781573,0.361482942,0.337734562,0.732812767,,,,0.965923515,0.837813471,0.414271711,0.737168177,,
Tb10.v4.0219,,,,,,,,none,,Tb10.v4.0219,"retrotransposon hot spot protein (RHS, pseudogene), putative",0,none,,,,,0.583880178,,0.290279303,,,,0.802472067,0.629314154,0.308588679,,,,,,,0.293840469,0.166883056
Tb927.10.6900,0.881384209,,5.569545975,,6.36E-11,,3.819979678,2,0.030272202,Tb927.10.6900;Tb10.v4.0246,base J-associated glucosyltransferase;hypothetical protein,1,GO:0005634|nucleus; GO:0046527|glucosyltransferase activity; GO:0006304|DNA modification,,0.799296865,0.640494701,0.636632082,0.446306199,0.162252898,,,0.802209641,0.804978922,0.620161695,0.391586247,0.193984384,,0.900783505,0.812067509,0.581438725,0.613852662,0.379836927,0.226265375,
Tb927.10.6950,0.421190034,0.310065001,1.504202837,1.405762678,0.259345944,0.057796524,2.384860871,1,0.061518942,Tb927.10.6950;Tb927.10.6910;Tb11.v5.0496;Tb10.v4.0247,"sterol 24-c-methyltransferase, putative;Sterol methyltransferase, putative;sterol 24-c-methyltransferase, putative;s-adenosyl-L-methionine-c-24-delta-sterol-methyl transferase a, putative",1,GO:0006694|steroid biosynthetic process; GO:0008168|methyltransferase activity; GO:0008152|metabolic process; GO:0005783|endoplasmic reticulum; GO:0005737|cytoplasm,,,0.508090397,0.486789629,0.276486241,0.302693362,,0.709764091,,,0.580191156,0.291083949,0.246235753,,,,0.391930469,0.403989172,0.293528639,,
Tb927.10.6920,0.930041756,0.027693657,7.200757303,0.87291892,0.053534076,0.039999958,5.37407209,5,0.019796098,Tb927.10.6920;Tb10.v4.0248,hypothetical protein;hypothetical protein,1,GO:0005509|calcium ion binding; GO:0005737|cytoplasm,0.990570304,0.861529844,0.85366549,0.767760961,0.599902998,0.348606152,0.23873087,0.917644956,0.945754006,0.859755031,0.791217614,0.583469507,0.338550205,0.230212232,0.908466929,0.959459438,0.831510111,0.775727724,0.570624878,0.359779858,0.228376189
Tb927.10.6930,,,,,,,,none,,Tb927.10.6930;Tb10.v4.0249,"Cullin family/Cullin protein neddylation domain containing protein, putative;Cullin family/Cullin protein neddylation domain containing protein, putative",0,GO:0031981|nuclear lumen; GO:0097014|ciliary plasm; GO:0005739|mitochondrion; GO:0005737|cytoplasm,,,,,,,,,,,,,,,,,,,,,
Tb11.01.2730,0.883238095,0.028573387,6.165688413,0.667951203,0.068091387,0.035419037,4.723155291,3,0.027892767,Tb11.01.2730,"hypothetical protein, conserved",1,none,0.90804196,0.941682891,0.819807273,0.688372104,0.52262566,0.326465953,0.223270953,0.948246063,0.890191523,0.80883746,0.688893987,0.533182877,0.320280114,0.179499141,0.805822071,0.886448821,0.873925837,0.766204709,0.521326083,0.345445998,0.196490038
Tb11.02.5070b,0.872652204,0.349129198,4.270153742,2.844794457,0.062767586,0.355291016,3.233691224,1,0.033256789,Tb11.02.5070b;Tb927.11.7212,"hypothetical protein, conserved;NADH-ubiquinone oxidoreductase complex I subunit, putative",1,none,0.896455259,0.692853516,0.659741065,0.859282737,0.358757473,,,,0.734038249,,0.614574413,0.447912753,,,0.985521046,0.933164081,0.850364188,0.510880831,,,
